20200109,091820,00003192,6,MANUFACTUR,00164383868955428,02371243535438358,000001442.5040,000001442.5040,000001442.5140,000001442.5040,000001442.5040
20200109,091820,00003193,6,MISC-IND  ,00032005482338504,00340779653418520,000001064.7540,000001064.7540,000001064.8080,000001064.7540,000001064.7540
20200109,091820,00003194,6,KOMPAS100 ,00412403842970955,05838288497802396,000001415.6730,000001415.6730,000001415.6770,000001415.6730,000001415.6730
20200109,091946,00003203,6,ISSI      ,01938990051986820,03788220098083235,000000195.3710,000000195.3700,000000195.3710,000000195.3700,000000195.3700
20200109,091946,00003204,6,COMPOSITE ,00112592705496685,07422148011188135,000006592.0330,000006592.0170,000006592.0330,000006592.0170,000006592.0170
20200109,091946,00003205,6,MBX       ,00356030868298119,06748004213708158,000001895.3420,000001895.3380,000001895.3420,000001895.3380,000001895.3380
20200109,091946,00003206,6,MANUFACTUR,00164383868955428,02371260959438358,000001442.5140,000001442.5040,000001442.5140,000001442.5040,000001442.5040
20200109,091946,00003207,6,MISC-IND  ,00032005482338504,00340797077418520,000001064.8080,000001064.7540,000001064.8080,000001064.7540,000001064.7540
20200109,091946,00003208,6,KOMPAS100 ,00412403842970955,05838305921802396,000001415.6770,000001415.6730,000001415.6770,000001415.6730,000001415.6730
20200109,092100,00003214,6,ISSI      ,01938990051986820,03788202674083235,000000195.3700,000000195.3700,000000195.3710,000000195.3700,000000195.3700
20200109,092100,00003215,6,COMPOSITE ,00112592705496685,07422130587188135,000006592.0170,000006592.0170,000006592.0330,000006592.0170,000006592.0170
20200109,092100,00003216,6,MBX       ,00356030868298119,06747986789708158,000001895.3380,000001895.3380,000001895.3420,000001895.3380,000001895.3380
20200109,092100,00003217,6,MANUFACTUR,00164383868955428,02371243535438358,000001442.5040,000001442.5040,000001442.5140,000001442.5040,000001442.5040
20200109,092100,00003218,6,MISC-IND  ,00032005482338504,00340779653418520,000001064.7540,000001064.7540,000001064.8080,000001064.7540,000001064.7540
20200109,092100,00003219,6,KOMPAS100 ,00412403842970955,05838288497802396,000001415.6730,000001415.6730,000001415.6770,000001415.6730,000001415.6730
20200109,092242,00003227,6,ISSI      ,01938990051986820,03788220098083235,000000195.3710,000000195.3700,000000195.3710,000000195.3700,000000195.3700
20200109,092242,00003228,6,COMPOSITE ,00112592705496685,07422148011188135,000006592.0330,000006592.0170,000006592.0330,000006592.0170,000006592.0170
20200109,092242,00003229,6,MBX       ,00356030868298119,06748004213708158,000001895.3420,000001895.3380,000001895.3420,000001895.3380,000001895.3380
20200109,092242,00003230,6,MANUFACTUR,00164383868955428,02371260959438358,000001442.5140,000001442.5040,000001442.5140,000001442.5040,000001442.5040
